MLSNumber, Street, City, BR, Bath, Footage, Price, PriceSqFt, County, Zone, Source, Date, URL
1072009,   1034 Hartley,   Santa Maria, 3, 3, 1715, 400000, 233.23615160349854,   SB, 0, 0,   October 15,   http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1072009
1072096,   4524 Kapalua,   Santa Maria, 4, 3, 2950, 869900, 294.88135593220335,   SB, 0, 0,   October 15,   http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1072096
1072111,   240 3rd,   Solvang, 1, 1, 914, 445000, 486.87089715536086,   SB, 0, 0,   October 15,   http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1072111
1072097,   1762 Viborg,   Solvang, 3, 3, 2347, 925000, 394.1201533873029,   SB, 0, 0,   October 15,   http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1072097
1072083,   439 Oak Park,   Arroyo Grande, 3, 3, 1360, 489000, 359.55882352941177,   SLO, 2, 0,   October 14,   http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1072083
1072081,   2200 Tully,   Cambria, 4, 3, 2104, 559000, 265.68441064638785,   SLO, 0, 0,   October 14,   http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1072081
1071977,   5596 Windsor,   Cambria, 3, 3, 2434, 999000, 410.4354971240756,   SLO, 0, 0,   October 14,   http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1071977
1072077,   1370 Grand,   Grover Beach, 2, 2, 960, 99000, 103.125,   SLO, 2, 0,   October 14,   http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1072077
1072093,   4227 Constellation,   Lompoc, 3, 2, 2059, 375500, 182.37008256435158,   SB, 0, 0,   October 14,   http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1072093
1072015,   3170 Christopher,   Lompoc, 5, 3, 3021, 560000, 185.3690830850712,   SB, 0, 0,   October 14,   http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1072015
1072088,   1450 Highway 135,   Los Alamos, 4, 5, 4000, 5950000, 1487.5,   SB, 0, 0,   October 14,   http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1072088
1072042,   633 Ramona,   Los Osos, 2, 2, 1440, 299000, 207.63888888888889,   SLO, 1, 0,   October 14,   http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1072042
1072085,   1725 15th,   Oceano, 3, 2, 1396, 420000, 300.8595988538682,   SLO, 2, 0,   October 14,   http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1072085
1072078,   7557 Town Creek,   Paso Robles, 5, 4, 4745, 1093000, 230.3477344573235,   SLO, 4, 0,   October 14,   http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1072078
1072068,   1320 Oceanaire,   San Luis Obispo, 2, 2, 1781, 799000, 448.6243683323975,   SLO, 1, 0,   October 14,   http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1072068
1072062,   4650 Davenport Creek,   San Luis Obispo, 3, 2, 1233, 999000, 810.2189781021898,   SLO, 1, 0,   October 14,   http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1072062
1072087,   1515 Tulane,   Santa Maria, 4, 3, 2350, 455487, 193.8242553191489,   SB, 0, 0,   October 14,   http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1072087
1072066,   830 Union,   Santa Maria, 2, 1, 908, 495000, 545.1541850220265,   SB, 0, 0,   October 14,   http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1072066
1072080,   2231 Hill Haven,   Solvang, 3, 3, 2945, 1295000, 439.7283531409169,   SB, 0, 0,   October 14,   http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1072080
1072089,   819 Peterson Ranch,   Templeton, 4, 3, 2103, 619000, 294.34141702330004,   SLO, 3, 0,   October 14,   http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1072089
1071982,   5550 Sawgrass,   Wasco, 4, 2, 1460, 209500, 143.49315068493152,   Other, 0, 0,   October 14,   http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1071982
1070568,   101 Equestrian,   Arroyo Grande, 3, 2, 2127, 729900, 343.15937940761637,   SLO, 2, 1,   10/21/16,   http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1070568
1070221,   657 Matthew,   Arroyo Grande, 3, 3, 2665, 935000, 350.84427767354583,   SLO, 2, 1,   10/21/16,   http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1070221
1071329,   6345 Marchant,   Atascadero, 1, 1, 816, 309900, 379.7794117647058,   SLO, 3, 1,   10/21/16,   http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1071329
1070467,   4405 Rosita,   Atascadero, 3, 2, 1552, 429900, 276.9974226804124,   SLO, 3, 1,   10/21/16,   http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1070467
