,MLSNumber,Street,City,Price,BR,Bath,Footage,PricePerSqft,Zipcode
281,1071663,5076 Bluebird,Paso Robles,259000,2,2,1000.0,259.0,93446
282,1071664,355 Cougar Canyon,Arroyo Grande,489900,2,2,1248.0,392.5480769230769,93420
283,1071665,2865 Monte Verde,Santa Maria,455000,3,2,2008.0,226.59362549800798,93455
284,1071666,1192 Bauer,Santa Maria,425000,3,3,2038.0,208.53778213935232,93455
285,1069620,330 Highway 246,Buellton,35000,2,2,1488.0,23.521505376344088,93427
286,1072222,370 Wadsworth,Pismo Beach,2800000,8,3,3542.0,790.5138339920949,93449
287,1071670,1084 Karina,Arroyo Grande,1699000,5,4,4726.0,359.50063478628863,93420
288,1069623,487 Dixson,Arroyo Grande,599900,3,3,1891.0,317.239555790587,93420
289,1071673,1342 13th,Los Osos,459000,3,2,1120.0,409.82142857142856,93402
290,1073127,952 David,Santa Maria,380000,3,2,1198.0,317.19532554257097,93455
291,1067579,2455 Sand Harbor,Paso Robles,460000,3,3,2440.0,188.52459016393442,93446
292,1071677,2017 Western,Santa Maria,360000,4,3,1889.0,190.57702488088935,93458
293,1071678,3956 Constellation,Lompoc,349900,3,2,1525.0,229.44262295081967,93436
294,1071679,4310 Jardine,Paso Robles,389900,3,2,1208.0,322.76490066225165,93446
295,1071680,1345 Fountain,Santa Maria,389000,3,3,1697.0,229.22804949911608,93455
296,1071681,173 Alder,Arroyo Grande,549000,4,2,1625.0,337.84615384615387,93420
297,1071682,1218 Southwood,San Luis Obispo,559000,2,2,1783.0,313.51654514862594,93401
298,1071683,925 Rachel,San Luis Obispo,783988,3,3,1646.0,476.2989064398542,93401
299,1071684,1580 Chilton,Arroyo Grande,699900,3,3,2007.0,348.729446935725,93420
300,1071542,538 Clark,Santa Maria,299000,3,2,1688.0,177.13270142180096,93455
302,1071687,211 Valhalla,Solvang,1025000,3,3,3042.0,336.9493754109139,93463
303,1071688,2283 Cranesbill,Avila Beach,699000,2,3,1727.0,404.7481181239143,93405
304,1067594,306 Alyssum,Nipomo,439000,3,2,1764.0,248.86621315192744,93444
305,1071691,1195 Glines,Santa Maria,385000,4,2,1299.0,296.3818321785989,93455
306,1071692,2140 Prospect,Paso Robles,575000,4,3,2226.0,258.3108715184187,93446
307,1071693,1114 Thornburg,Santa Maria,310000,4,2,1464.0,211.7486338797814,93458
308,1071695,3611 Cerrito,Santa Ynez,639000,3,2,1467.0,435.5828220858896,93460
309,1070235,2422 Royal,Paso Robles,475000,3,3,2200.0,215.9090909090909,93446
310,1071698,4570 Wavertree,San Luis Obispo,729000,4,3,2091.0,348.6370157819225,93401
311,1071701,749 Mercury,Lompoc,499900,4,4,2528.0,197.74525316455697,93436
312,1067606,2837 Old Wrangler,Paso Robles,357500,3,2,1704.0,209.80046948356807,93446
313,1069941,5530 Capistrano,Atascadero,525000,3,2,2121.0,247.52475247524754,93422
314,1069656,1650 Clark,Santa Maria,45500,2,2,1440.0,31.59722222222222,93455
315,1070180,325 Palisade,Pismo Beach,1875000,3,3,1921.0,976.0541384695471,93449
316,1065562,205 Vincente,Pismo Beach,975000,3,4,2150.0,453.48837209302326,93449
317,1071707,6536 Turn Back,San Miguel,649000,3,3,2346.0,276.6410912190963,93451
318,1071708,230 Lema,Nipomo,390000,3,2,1440.0,270.8333333333333,93444
